itemId,itemName,iconId,iLvl,slot,category,classId,equipmentCategory,binding,durability,sturdiness,quality,valueTableId,armourType,dps,minDamage,maxDamage,damageType,weaponType,description,unique,minLevel,stackMax,grants,requiredClass,requiredRace,maxLevel,requiredFaction,reputation,itemLevelOffset,mainLegacyId,mainLegacyBaseRank,itemProperty,itemXP,virtueXP,essenceSlots,maxItems,itemStackMax,Vitality Scaling,Will Scaling,Agility Scaling,Might Scaling,Fate Scaling,Maximum Morale Scaling,Maximum Power Scaling,Finesse Scaling,Critical Rating Scaling,Outgoing Healing Rating Scaling,Incoming Healing Rating Scaling,Tactical Mastery Scaling,Physical Mastery Scaling,Tactical Mitigation Scaling,Physical Mitigation Scaling,Block Rating Scaling,Parry Rating Scaling,Evade Rating Scaling,Critical Defense Scaling,Resistance Rating Scaling,Armour Scaling,Out of Combat Power Regen Scaling,In Combat Power Regen Scaling,In Combat Morale Regen Scaling,Out of Combat Morale Regen Scaling
1879477442,Adept Coin of the Sailor's Code,1092915100-1090519044-1091947416,517,POCKET,ITEM,49,2,BOUND_TO_ACCOUNT_ON_ACQUIRE,100,NORMAL,INCOMPARABLE,1879052641,,,,,,,,,150,,,,,,,,,,,,,,PSSSS,,,1879211535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879477614,Adept Master-crafted Helm,1092906883-1090519044-1091947416,517,HEAD,ARMOUR,7,9,BOUND_TO_ACCOUNT_ON_ACQUIRE,50,NORMAL,INCOMPARABLE,1879050493,MEDIUM,,,,,,,,150,,,,,,,,,,,,,,PSSSS,,,1879211535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879055756,0,0,0,0
1879477604,Adept Master-crafted Helmet,1092906913-1090519044-1091947416,517,HEAD,ARMOUR,7,10,BOUND_TO_ACCOUNT_ON_ACQUIRE,90,NORMAL,INCOMPARABLE,1879050486,HEAVY,,,,,,,,150,,,,,,,,,,,,,,PSSSS,,,1879211535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879055441,0,0,0,0
1879477591,Adept Master-crafted Hood,1092906895-1090519044-1091947416,517,HEAD,ARMOUR,7,18,BOUND_TO_ACCOUNT_ON_ACQUIRE,35,NORMAL,INCOMPARABLE,1879050068,LIGHT,,,,,,,,150,,,,,,,,,,,,,,PSSSS,,,1879211535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879055484,0,0,0,0
1879477434,Adept Pearl Necklace,1092915095-1090519044-1091947416,517,NECK,ITEM,49,23,BOUND_TO_ACCOUNT_ON_ACQUIRE,80,NORMAL,INCOMPARABLE,1879050115,,,,,,,,,150,,,,,,,,,,,,,,PSSSS,,,1879211535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879476203,Ancient Silk Gloves of Umbar,1092906882-1090519043-1091947416,512,HAND,ARMOUR,5,18,BOUND_TO_ACCOUNT_ON_ACQUIRE,30,NORMAL,RARE,1879049295,LIGHT,,,,,,,,150,,,,,,,,,,,,,,,,,1879211544,1879211585,0,0,0,0,0,1879211720,0,0,0,1879223968,0,0,0,0,0,0,0,0,1879051208,0,0,0,0
1879476219,Ancient Silk Hood of the Eagle,1092906872-1090519043-1091947416,512,HEAD,ARMOUR,7,18,BOUND_TO_ACCOUNT_ON_ACQUIRE,35,NORMAL,RARE,1879050068,LIGHT,,,,,,,,150,,,,,,,,,,,,,,,,,1879211544,1879211585,0,0,0,0,0,0,0,0,0,1879223976,0,0,0,0,0,0,0,0,1879050275,0,0,0,0
1879476171,Ancient Silk Leggings of Umbar,1092525606-1090519043-1091947416,512,LEGS,ARMOUR,15,18,BOUND_TO_ACCOUNT_ON_ACQUIRE,40,NORMAL,RARE,1879050117,LIGHT,,,,,,,,150,,,,,,,,,,,,,,,,,1879211544,1879211585,0,0,0,0,0,1879211719,1879211600,0,0,0,0,0,0,0,0,0,0,0,1879051213,0,0,0,0
1879476181,Ancient Silk Robe of Umbar,1092906862-1090519043-1091947416,512,CHEST,ARMOUR,3,18,BOUND_TO_ACCOUNT_ON_ACQUIRE,35,NORMAL,RARE,1879050690,LIGHT,,,,,,,,150,,,,,,,,,,,,,,,,,1879211544,1879211585,0,0,0,0,0,0,1879211605,0,0,0,0,0,0,0,0,0,0,0,1879051214,0,0,0,0
1879476217,Ancient Silk Shoes of the Eagle,1092906867-1090519043-1091947416,512,FEET,ARMOUR,23,18,BOUND_TO_ACCOUNT_ON_ACQUIRE,30,NORMAL,RARE,1879050219,LIGHT,,,,,,,,150,,,,,,,,,,,,,,,,,1879211544,1879211585,0,0,0,0,0,1879211719,1879211600,0,0,0,0,0,0,0,0,0,0,0,1879054353,0,0,0,0
